step,target_class,confidence,diff_x,diff_y,smoothed_diff_x,smoothed_diff_y,direction,pos_x,pos_y,pos_z
70,person,0.88,86,66,117.8,69.6,"['RIGHT', 'DOWN']",0.006,-0.022,1.000
71,person,0.88,67,65,103.0,68.0,"['RIGHT', 'DOWN']",0.006,-0.023,1.000
72,person,0.90,49,64,86.2,66.6,"['RIGHT', 'DOWN']",0.006,-0.023,1.000
73,person,0.87,44,64,70.4,65.4,"['RIGHT', 'DOWN']",0.007,-0.024,1.000
74,person,0.86,35,64,56.2,64.6,"['RIGHT', 'DOWN']",0.007,-0.025,1.000
75,person,0.86,17,64,42.4,64.2,"['RIGHT', 'DOWN']",0.007,-0.025,1.000
76,person,0.86,1,67,29.2,64.6,['DOWN'],0.008,-0.026,1.000
77,person,0.86,-14,69,16.6,65.6,['DOWN'],0.008,-0.027,1.000
78,person,0.87,-34,69,1.0,66.6,['DOWN'],0.009,-0.027,1.000
79,person,0.85,-109,74,-27.8,68.6,['DOWN'],0.009,-0.028,1.000
80,person,0.86,-121,76,-55.4,71.0,"['LEFT', 'DOWN']",0.009,-0.029,1.000
81,person,0.85,-126,77,-80.8,73.0,"['LEFT', 'DOWN']",0.010,-0.029,1.000
82,person,0.87,-135,80,-105.0,75.2,"['LEFT', 'DOWN']",0.010,-0.030,1.000
83,person,0.90,-138,81,-125.8,77.6,"['LEFT', 'DOWN']",0.010,-0.031,1.000
84,person,0.91,-141,81,-132.2,79.0,"['LEFT', 'DOWN']",0.011,-0.032,1.000
85,person,0.91,-143,83,-136.6,80.4,"['LEFT', 'DOWN']",0.011,-0.032,1.000
86,person,0.91,-144,84,-140.2,81.8,"['LEFT', 'DOWN']",0.011,-0.033,1.000
87,person,0.91,-145,85,-142.2,82.8,"['LEFT', 'DOWN']",0.011,-0.034,1.000
88,person,0.91,-145,86,-143.6,83.8,"['LEFT', 'DOWN']",0.012,-0.035,1.000
89,person,0.91,-145,87,-144.4,85.0,"['LEFT', 'DOWN']",0.012,-0.035,1.000
90,person,0.91,-145,88,-144.8,86.0,"['LEFT', 'DOWN']",0.012,-0.036,1.000
91,person,0.92,-144,89,-144.8,87.0,"['LEFT', 'DOWN']",0.012,-0.037,1.000
92,person,0.92,-143,89,-144.4,87.8,"['LEFT', 'DOWN']",0.013,-0.038,1.000
93,person,0.91,-142,87,-143.8,88.0,"['LEFT', 'DOWN']",0.013,-0.039,1.000
94,person,0.91,-140,88,-142.8,88.2,"['LEFT', 'DOWN']",0.013,-0.039,1.000
95,person,0.90,-137,88,-141.2,88.2,"['LEFT', 'DOWN']",0.013,-0.040,1.000
96,person,0.90,-135,87,-139.4,87.8,"['LEFT', 'DOWN']",0.014,-0.041,1.000
97,person,0.88,-132,86,-137.2,87.2,"['LEFT', 'DOWN']",0.014,-0.042,1.000
98,person,0.87,-122,84,-133.2,86.6,"['LEFT', 'DOWN']",0.014,-0.043,1.000
99,person,0.87,-116,83,-128.4,85.6,"['LEFT', 'DOWN']",0.014,-0.044,1.000
100,person,0.86,-111,81,-123.2,84.2,"['LEFT', 'DOWN']",0.014,-0.044,1.000
101,person,0.87,-101,78,-116.4,82.4,"['LEFT', 'DOWN']",0.014,-0.045,1.000
102,person,0.87,-90,75,-108.0,80.2,"['LEFT', 'DOWN']",0.015,-0.046,1.000
103,person,0.87,-79,72,-99.4,77.8,"['LEFT', 'DOWN']",0.015,-0.047,1.000
104,person,0.87,-71,70,-90.4,75.2,"['LEFT', 'DOWN']",0.015,-0.048,1.000
105,person,0.87,-71,70,-82.4,73.0,"['LEFT', 'DOWN']",0.015,-0.049,1.000
106,person,0.85,-64,59,-75.0,69.2,"['LEFT', 'DOWN']",0.015,-0.050,1.000
107,person,0.88,-59,54,-68.8,65.0,"['LEFT', 'DOWN']",0.015,-0.051,1.000
108,person,0.88,-52,47,-63.4,60.0,"['LEFT', 'DOWN']",0.015,-0.052,1.000
109,person,0.89,-50,40,-59.2,54.0,"['LEFT', 'DOWN']",0.015,-0.053,1.000
110,person,0.89,-43,28,-53.6,45.6,"['LEFT', 'DOWN']",0.016,-0.054,1.000
111,person,0.90,-32,17,-47.2,37.2,"['LEFT', 'DOWN']",0.016,-0.055,1.000
112,person,0.94,-14,0,-38.2,26.4,['LEFT'],0.016,-0.056,1.000
113,person,0.93,-7,-1,-29.2,16.8,['STAY'],0.016,-0.056,1.000
114,person,0.93,-5,-1,-20.2,8.6,['STAY'],0.016,-0.057,1.000
115,person,0.93,-2,-1,-12.0,2.8,['STAY'],0.016,-0.058,1.000
116,person,0.94,-2,-1,-6.0,-0.8,['STAY'],0.016,-0.059,1.000
117,person,0.95,-4,-1,-4.0,-1.0,['STAY'],0.016,-0.060,1.000
118,person,0.95,-1,-1,-2.8,-1.0,['STAY'],0.016,-0.061,1.000
119,person,0.95,-1,-3,-2.0,-1.4,['STAY'],0.016,-0.062,1.000
120,person,0.95,-2,-3,-2.0,-1.8,['STAY'],0.016,-0.063,1.000
121,person,0.95,-3,-3,-2.2,-2.2,['STAY'],0.016,-0.064,1.000
122,person,0.95,-3,-3,-2.0,-2.6,['STAY'],0.016,-0.065,1.000
123,person,0.95,-3,-3,-2.4,-3.0,['STAY'],0.016,-0.066,1.000
124,person,0.95,-4,-2,-3.0,-2.8,['STAY'],0.016,-0.067,1.000
125,person,0.95,-5,-2,-3.6,-2.6,['STAY'],0.017,-0.068,1.000
126,person,0.95,-6,-2,-4.2,-2.4,['STAY'],0.017,-0.069,1.000
127,person,0.95,-6,-1,-4.8,-2.0,['STAY'],0.017,-0.070,1.000
128,person,0.95,-7,-2,-5.6,-1.8,['STAY'],0.017,-0.071,1.000
129,person,0.95,-7,-2,-6.2,-1.8,['STAY'],0.017,-0.072,1.000
130,person,0.94,-8,-3,-6.8,-2.0,['STAY'],0.017,-0.073,1.000
131,person,0.94,-11,-3,-7.8,-2.2,['STAY'],0.017,-0.074,1.000
132,person,0.94,-11,-3,-8.8,-2.6,['STAY'],0.017,-0.075,1.000
133,person,0.95,-13,-3,-10.0,-2.8,['STAY'],0.017,-0.076,1.000
134,person,0.95,-12,-3,-11.0,-3.0,['STAY'],0.017,-0.077,1.000
135,person,0.96,-13,-3,-12.0,-3.0,['STAY'],0.017,-0.078,1.000
136,person,0.95,-14,-3,-12.6,-3.0,['STAY'],0.017,-0.079,1.000
137,person,0.95,-12,-2,-12.8,-2.8,['STAY'],0.017,-0.079,1.000
138,person,0.93,-14,-2,-13.0,-2.6,['STAY'],0.017,-0.080,1.000
139,person,0.95,-17,-2,-14.0,-2.4,['STAY'],0.017,-0.081,1.000
140,person,0.95,-16,-2,-14.6,-2.2,['STAY'],0.018,-0.082,1.000
141,person,0.93,-15,-1,-14.8,-1.8,['STAY'],0.018,-0.083,1.000
142,person,0.93,-15,-1,-15.4,-1.6,['STAY'],0.018,-0.084,1.000
143,person,0.93,-15,0,-15.6,-1.2,['STAY'],0.018,-0.085,1.000
144,person,0.93,-17,0,-15.6,-0.8,['STAY'],0.018,-0.086,1.000
145,person,0.93,-11,-1,-14.6,-0.6,['STAY'],0.018,-0.087,1.000
146,person,0.92,-5,3,-12.6,0.2,['STAY'],0.018,-0.088,1.000
147,person,0.87,10,64,-7.6,13.2,['STAY'],0.018,-0.089,1.000
